,weight
0,-0.5543326109828851
1,-0.6630318660393975
2,-0.5629505490479152
3,0.5291039908478737
4,-0.4407811036888949
5,-0.24625640126459292
6,-0.8799722228490966
7,0.1431139172075811
8,-0.3529112250619202
9,-0.6836336195996585
10,-0.09502421632999634
11,0.7094726257821715
12,-0.6992600428517306
13,0.044323841636004745
14,-1.1830097215184003
15,0.24932236181066791
16,-0.11289372593983409
17,-0.23773782112367284
18,0.018510518317238024
19,-0.8025589567692215
20,-0.027222225619198778
21,-0.6142017293994889
22,-0.8215859168393105
23,0.9456003266011606
24,-0.8060645261195098
25,0.5646928178793521
26,0.2838558915840018
27,-0.030522736531337247
28,0.991193540925981
29,0.6245359558788598
30,-0.8103676965126326
31,0.34618806798832247
32,-0.056323171165482334
33,0.043032700885571304
34,-0.34821881608568883
35,-0.3525562466335786
36,0.2517135918144792
37,-0.7739073899984558
38,-1.030162166209847
39,-0.3251339940048478
40,-1.2432544236772611
41,0.40784154846268694
42,-0.6564566190788553
43,-0.15930179067624917
44,-0.8351757038767079
45,-0.9615785916826829
46,-1.0384853074728746
47,0.39740300554803515
48,-0.006610428175871416
49,0.33293049697499155
50,0.7290426049744757
51,0.8521593525226606
52,-0.3755252646886965
53,-0.045762689864375705
54,1.1938682435709405
55,-0.4473847024298645
56,0.8696921531092835
57,-0.7662475904653602
58,1.1435080214129776
59,-0.7229037118847045
60,-0.7146109017430837
61,-0.6212564870408261
62,-0.02812535861210442
63,-0.9400707449323779
64,-0.5370550674001988
65,0.8096491130007477
66,-1.0706646049654813
67,0.22645223984031793
68,1.0279424663314263
69,-0.7400135949747041
70,0.7842366273623619
71,-1.1242348708808345
72,0.4489447756943542
73,-0.22333380374325665
74,1.083050192386586
75,0.6136248472033051
76,-0.8833991473998543
77,-0.25650976232326245
78,0.38018352080973367
79,0.11681288173691703
80,-0.6713869310254186
81,-0.3726008610799048
82,0.37228260396113105
83,-0.4048183868141173
84,0.19939437632841842
85,-0.4303483491006817
86,-0.5160426777886141
87,0.9359642516590193
88,-0.7309347691459883
89,0.8034436376207691
90,-1.2963594749095835
91,-0.7731074295571019
92,-0.3645400803776068
93,1.180756346840766
94,0.497467023159838
95,-0.1887184855060931
96,-0.43175625363738174
97,-0.8274977517808944
98,0.3601669999076568
99,-0.12263814336815579
100,-0.05505627532774028
101,-0.24514604607873225
102,0.49524269107424324
103,0.7344652725425178
104,0.3077941271189485
105,0.5797305096741374
106,1.0577282311079348
107,0.27981026213127125
108,-0.6642663754231993
109,0.5577319550465449
110,-0.17793349254754304
111,-0.3942978782264448
112,-0.7333053154592425
113,-0.26884617298791835
114,0.47409677286199897
115,0.8687401957734436
116,0.6276792777054607
117,-1.2067599774356301
118,-0.6195824847297965
119,0.511588378572288
120,-0.6159206953119626
121,-0.05077465602770674
122,-0.2554540413586591
123,-0.3288938610052816
124,1.1594912782174747
125,-0.7315337205271715
126,-0.3835744511723902
127,0.77780390199412
128,-0.9899033856716928
129,-0.4790723659643708
130,0.2939656709232426
131,-0.8868670980013236
132,0.6398220590746289
133,-0.5094858937675374
134,0.7002477598795355
135,-0.25159504594359794
136,0.29421555751385575
137,-0.19309908727450195
138,0.4054865426955613
139,-0.37995219783190676
140,0.8172427687713587
141,-0.04252258877572977
142,-0.5294548121309658
143,-0.1830964897543364
144,-0.31101255894989877
145,-0.4494177710963838
146,-0.09690141337625618
147,-1.0548490992019424
148,-0.25893588628605463
149,0.6095650008269479
150,0.2349034011427553
151,-0.4633091432229603
152,-1.003615466927261
153,0.30269383580089326
154,-0.20593284401911977
155,-0.5035379972539867
156,-0.6388323698529133
157,0.029618681199555873
158,0.6624537442728163
159,0.8364951049586687
160,-0.24337443676109446
161,-0.39729674831613215
162,0.3461001150531313
163,0.1641042137791728
164,0.8544374199109758
165,1.1613819228310982
166,0.7192034291749062
167,0.139712703012998
168,0.7981144708855175
169,0.5523756939431518
170,-0.9948110634027785
171,0.7557817995455673
172,-0.8951162431284333
173,-0.13115870654496897
174,0.020113693520238115
175,0.4535111915048349
176,0.8078096101405082
177,0.06195705156982714
178,-0.5379107181098326
179,-0.7131073647987886
180,-0.4305172827279054
181,-0.6584881992881482
182,0.7129914686556044
183,0.2043026095046517
184,-0.9469733823392659
185,-0.03926326248483131
186,0.5233142778015902
187,-0.3250394138168081
188,-1.165966614017502
189,1.0003321408134151
190,0.16493312191048667
191,0.11337428797622423
192,-0.09978768126592628
193,-0.2925781403283394
194,0.8152704880128251
195,-0.5553194846771439
196,-0.6648243235478354
197,0.24903733291572847
198,0.8299408766132564
199,0.4451539100169358
200,0.347858380712881
201,0.6071022085246666
202,-0.6333254075610615
203,0.5301416674565889
204,0.9054280121105419
205,-0.5067678914584839
206,0.510074565098222
207,0.7435581577136773
208,-0.4492931711353994
209,0.6805383986424699
210,-0.5614726432702254
211,-0.34596642022617524
212,-0.16744618084058244
213,-0.6594989271575864
214,0.30881220822648486
215,0.5250162653765692
216,-0.4297759472168737
217,0.6277786115526915
218,0.8038460282201437
219,-1.3396751188424452
220,0.8467214850749416
221,0.42737750257847357
222,-0.20111743031937304
223,-0.3107472741370949
224,0.7406872789393352
225,-0.5655375997302048
226,1.6988572582062376
227,0.37227658864130936
228,-1.2522877729604958
229,0.8569869138933066
230,0.22091058277292908
231,-0.543214386831127
232,0.045855085558806054
233,-0.2521204400224672
234,1.1536891369119533
235,-1.0174793098579766
236,-0.3605792333537599
237,-0.8119590784274734
238,0.31068577748629744
239,-0.20272351791212986
240,0.7343251534082562
241,-0.025083817026844597
242,-0.4817486410308685
243,0.3518250803067386
244,0.14916120491906407
245,1.2988325293311822
246,-0.896524339128407
247,0.25622723043086043
248,-0.38679379607540304
249,0.6662908714836331
250,0.006683425487065849
251,0.8898022146076373
252,-0.12539026002311587
253,1.2025086863053382
254,0.8288306058771715
255,0.21625598236642796
256,-0.961235386562467
257,-0.7400155332237638
258,1.003828417794486
259,0.7489461887531137
260,-0.24265400282365965
261,-1.2025870892813213
262,0.5853573100221242
263,-0.2667670419457937
264,0.7509219074596439
265,-0.628255436295808
266,-0.49349061350826307
267,-0.6389351334515496
268,-0.07383909622762538
269,-0.7359426244190316
270,-0.08521364832882077
271,0.017820234038256257
272,0.1269540336210865
273,-1.1145246750548614
274,-0.14864333463359042
275,0.004995794159679672
276,0.49929580822453207
277,0.47946364222958415
278,-0.6811404134367609
279,-0.5239399459071633
280,-0.6205962685530235
281,0.8161186685524089
282,-0.4699957285725842
283,-1.0370076833837572
284,-0.5263063974719585
285,-1.0938140620656915
286,-1.1215681495045462
287,-0.9261017877733722
288,-0.3343605850053725
289,-0.16932054805685384
290,-0.6802958511322346
291,1.0153942494754853
292,0.19785470901825605
293,-1.0949924881391608
294,0.7047264931056352
295,1.0848049896011
296,-0.11184838876600317
297,-0.4109495581427805
298,0.6527258239606243
299,-0.7151902393891519
300,1.02443391631521
301,0.8096383436028212
302,-0.1859059574317806
303,-1.0398778750692248
304,0.12676026751030986
305,0.42239154449263616
306,0.6929887205886532
307,-0.757633806935018
308,-0.8373800854271521
309,-0.7530468258719085
310,-0.5921391272369263
311,0.45849698817692364
312,-0.18523291097629235
313,0.8148067357442128
314,-0.778599901852667
315,-1.3353684595572213
316,-0.614673330347502
317,0.20304190227588703
318,0.31230789789553587
319,-0.26505833188785183
320,0.0021863567069583464
321,0.6956049986904967
322,0.4025713177085687
323,-0.09716227307359318
324,0.9033204308857606
325,-0.5322141769486822
326,-1.0885713071334486
327,-1.0803450585863572
328,0.6901468829395404
329,-0.9675614758552171
330,0.8237045943486225
331,-0.027308809340936428
332,0.15062508638464495
333,-0.4600647854441736
334,-0.1400666812889249
335,-0.3074584658233792
336,-0.6130099573604321
337,0.4790570771935921
338,0.5254581112314793
339,-0.6694619573276437
340,-1.0091394980746589
341,-0.5679144673739855
342,0.5753634325050937
343,-0.7203915696790789
344,-0.36598459225373714
345,0.9346177945026547
346,0.9013598950426929
347,-0.7838793311651521
348,0.7260529603701931
349,0.18712210175252741
350,0.002456826641659568
351,1.065012434152086
352,1.0254613741165344
353,-0.6915077536379667
354,-0.5317016315471582
355,-0.35409573219802026
356,0.496168708522176
357,-1.3950069079425051
358,-0.09651826107110938
359,-0.9884551042594314
360,-0.40376160966458235
361,-0.04087706279290426
362,-0.26173308619756797
363,0.7744104154037575
364,0.7356958234063339
365,1.0594654415666196
366,0.4475832455287678
367,-0.017321541297703927
368,0.3389660648416734
369,0.3271651642466323
370,-0.5733695430760701
371,-0.2708592178330564
372,0.40929350386216057
373,0.45214912001539675
374,-0.29632284083423827
375,0.9567588045945075
376,-0.2186503881963959
377,0.6577763556743313
378,0.07015855026370807
379,0.9279860505916683
380,0.5728934063130766
381,-0.7938792598680002
382,0.19712635308903637
383,1.1010935021056307
384,-0.7995500114445407
385,0.25501305832605514
386,0.19864167826881504
387,0.4487949157051856
388,-0.03436000155317939
389,-0.5584699881062622
390,0.4464428501308194
391,-0.7362533151586104
392,0.4350789804409852
393,0.03972511533951381
394,0.6308167566060405
395,-0.5628634035706038
396,0.7479872018332532
397,0.1349314452519937
398,0.787336380566259
399,0.16029711603717944
400,-0.3433521836502538
401,0.8000937287189056
402,-1.1433555381943428
403,-0.3240497251865158
404,0.2277029176553622
405,-0.8083264550639641
406,0.22909313682680688
407,-0.8384048089323403
408,0.2299559884697433
409,-0.8703102274060901
410,-0.6641440214407921
411,1.0913561770251503
412,-0.794846235021083
413,-0.3081694412265045
414,-0.31304099752347114
415,0.39812749529161007
416,-0.937342222624147
417,1.2245021861320986
418,-0.2733726721607164
419,-0.1590559255176511
420,0.17813521646342467
421,-0.25073805813796307
422,-1.2603873395516578
423,0.6160302266384183
424,1.0310948656839605
425,0.867392398374081
426,-0.6513614920068768
427,-0.447704346896074
428,-0.8679658897965317
429,0.6449948248643783
430,1.0042480686125346
431,-0.9835205998722275
432,0.34446919526716435
433,-0.6509717167276312
434,0.8254708557359687
435,1.0526558780570607
436,0.5776992062170834
437,0.4027940794288336
438,-0.38589363610332017
439,-0.31733189668201206
440,-0.24894133630085688
441,-0.09446090102678541
442,0.6301579971439654
443,0.5995599074812766
444,-1.036440819231537
445,-1.3520749019561542
446,0.4866419417500893
447,-0.39262606096498276
448,0.8285277044319767
449,-0.42919338440288746
450,-0.9996495209433961
451,-0.14409654901781088
452,0.7677872838290041
453,0.09859048296367387
454,0.2899473799321236
455,-0.5986179556108169
456,0.15578749048452384
457,0.5505372222722206
458,1.2171278295322827
459,0.01585047247563641
460,0.3540571823837849
461,-0.21993836960796642
462,0.4239296019423277
463,-0.4094219328938089
464,1.4069141330664112
465,0.5460419798258004
466,-0.09606741433445246
467,-0.27106244320074974
468,-0.5732630812385386
469,-0.49220666242087996
470,-0.8755495218643394
471,0.4681216148184153
472,0.958782803456103
473,0.6104837123327563
474,-0.4923777551566141
475,-0.3178507554970091
476,0.9387945066495051
477,0.6920563042867851
478,0.41861402388114843
479,-0.2502082123457478
480,-0.9122380250180314
481,1.0267891433050376
482,0.5522420007890946
483,0.8194891274170701
484,0.3719895040924888
485,-0.6289455590638647
486,-0.557319680283199
487,-0.6751502459776031
488,-1.0251145660027672
489,-0.4970273678359359
490,0.18353028497859608
491,0.41241774591517877
492,-0.9988268379528353
493,-0.656561320663733
494,-1.1717804877333482
495,-0.8461338512256786
496,-0.41081630933241053
497,-0.33684624524354784
498,-0.5627903522748218
499,-0.9103044757962094
500,-0.7802897373188493
501,0.5191623669686742
502,-0.777719061490342
503,-0.19304867388888272
504,-0.9141733474988444
505,0.5997475798094529
506,-0.40976676544135443
507,-0.42802447145547806
508,1.0220329316199614
509,0.4537582447645378
